dataset,seed,method,beta_scale,Delta_I
Computers,4,Ours,1.1,0.1542923478058988
Computers,4,PageRank,1.1,0.7114855696152576
Computers,4,Degree,1.1,0.7085378205180725
Computers,4,Betweenness,1.1,0.656753907153437
Computers,0,Ours,1.2,0.2508869160450991
Computers,0,PageRank,1.2,0.804469093198731
Computers,0,Degree,1.2,0.8069797959026013
Computers,0,Betweenness,1.2,0.7729958436747753
Computers,1,Ours,1.2,0.18984869091226403
Computers,1,PageRank,1.2,0.788320699505577
Computers,1,Degree,1.2,0.7899447895280007
Computers,1,Betweenness,1.2,0.7678431808862499
Computers,2,Ours,1.2,0.21849361793800326
Computers,2,PageRank,1.2,0.8031553785037495
Computers,2,Degree,1.2,0.8071627704275847
Computers,2,Betweenness,1.2,0.7733071998927954
Computers,3,Ours,1.2,0.15760407102730858
Computers,3,PageRank,1.2,0.7415691346527266
Computers,3,Degree,1.2,0.7424686069071261
Computers,3,Betweenness,1.2,0.7285698790894843
Computers,4,Ours,1.2,0.2527117240062641
Computers,4,PageRank,1.2,0.8279631275580683
Computers,4,Degree,1.2,0.8277676882647259
Computers,4,Betweenness,1.2,0.7836955394496311
Computers,0,Ours,1.5,0.28968281944396684
Computers,0,PageRank,1.5,0.9554311519001085
Computers,0,Degree,1.5,0.9560222213090542
Computers,0,Betweenness,1.5,0.9383898563137104
Computers,1,Ours,1.5,0.22513248668591002
Computers,1,PageRank,1.5,0.9489099568767995
Computers,1,Degree,1.5,0.9495222171176659
Computers,1,Betweenness,1.5,0.9353184745004888
Computers,2,Ours,1.5,0.3073075629350438
Computers,2,PageRank,1.5,0.9555681521248881
Computers,2,Degree,1.5,0.9562830488822825
Computers,2,Betweenness,1.5,0.9397301274082168
Computers,3,Ours,1.5,0.2978763337383893
Computers,3,PageRank,1.5,0.9376820242795851
Computers,3,Degree,1.5,0.9374620325543214
Computers,3,Betweenness,1.5,0.926267644889219
Computers,4,Ours,1.5,0.2298162709986769
Computers,4,PageRank,1.5,0.9547158771050444
Computers,4,Degree,1.5,0.9550658954765942
Computers,4,Betweenness,1.5,0.9326408127186869
Computers,0,Ours,2.0,0.1969078475414725
Computers,0,PageRank,2.0,0.9858087106971823
Computers,0,Degree,2.0,0.9858606848154812
Computers,0,Betweenness,2.0,0.9544322853406738
Computers,1,Ours,2.0,0.18976504529030874
Computers,1,PageRank,2.0,0.984674037653782
Computers,1,Degree,2.0,0.9850926682251648
Computers,1,Betweenness,2.0,0.9564806572582255
Computers,2,Ours,2.0,0.2406627756194412
Computers,2,PageRank,2.0,0.9861899915209208
Computers,2,Degree,2.0,0.9865288000298935
Computers,2,Betweenness,2.0,0.9563605003526418
Computers,3,Ours,2.0,0.18579156619542866
Computers,3,PageRank,2.0,0.9820328048434787
Computers,3,Degree,2.0,0.9819378096459505
Computers,3,Betweenness,2.0,0.9626001156191789
Computers,4,Ours,2.0,0.163487555934807
Computers,4,PageRank,2.0,0.9862568710874378
Computers,4,Degree,2.0,0.9861252742346149
Computers,4,Betweenness,2.0,0.946120468306512
Photo,0,Ours,0.8,-0.03880695803992617
