node,throughput_raw,delay_raw,loss_raw,txPackets,rxPackets,bytes_,uptime_ratio,degree_centrality,closeness,betweenness,clustering_coeff,k_shell,throughput,delay,loss,soft_label,run_split,mask,true_label
10,966.490101010101,0.0287444613756008,-0.3969624300559552,6255,8738,7176189,1.0,0.0206185567010309,0.229585798816568,0.0166067221005525,0.1666666666666666,4,31.08842392290257,0.972058696348008,1.0,0.46208385,val,0,0.46208385
11,2569.311919191919,0.0155434201970172,-5.5575604474918805,2771,18171,19077141,1.0,0.0463917525773195,0.2323353293413173,0.0559659276381138,0.1111111111111111,4,50.6883805244547,0.9846944799327224,1.0,0.6714364,val,0,0.6714364
12,1701.9336026936026,0.0625085913685666,-1.6046643913538112,5274,13737,12636857,1.0,0.0257731958762886,0.2440251572327044,0.3177619453352587,0.0,3,41.254497981354746,0.9411688603025296,1.0,0.6246164,val,0,0.6246164
13,426.5026262626262,0.0010176765014768,-111.85185185185183,27,3047,3166782,1.0,0.0154639175257731,0.2039957939011566,0.0423605980520675,0.0,3,20.651940036292626,0.998983358111084,1.0,0.318597,val,0,0.318597
14,0.5151515151515151,0.0010012448275862,-0.074074074074074,27,29,3825,1.0,0.0103092783505154,0.2016632016632016,0.0174515843764281,0.0,2,0.7177412591954814,0.9989997566608834,1.0,0.14175573,val,0,0.14175573
15,1358.5185185185182,0.1414961691939345,0.1344294003868472,14476,12530,10087000,1.0,0.0360824742268041,0.1739910313901345,0.0098551873376936,0.0476190476190476,4,36.85808621616861,0.8760432378026711,0.8655705996131529,0.39920485,val,0,0.39920485
16,0.0,0.0,1.0,6594,0,0,1.0,0.0257731958762886,0.172291296625222,0.0008605903055985,0.3,4,0.001,1.0,0.0,0.14582641,val,0,0.14582641
17,660.6917171717171,0.2186832799335469,0.4272801413619682,14714,8427,4905636,1.0,0.0309278350515463,0.1738351254480286,0.0013055895193601,0.0666666666666666,4,25.70392417845409,0.8205577416755307,0.5727198586380318,0.26814362,val,0,0.26814362
18,0.0,0.0,1.0,5874,0,0,1.0,0.0154639175257731,0.1706244503078276,0.0011177923442225,0.0,3,0.001,1.0,0.0,0.028538119,val,0,0.028538119
19,262.4242424242424,0.3337305389221557,0.7286758732737612,13541,3674,1948500,1.0,0.0206185567010309,0.1724444444444444,0.0004235121750211,0.3333333333333333,4,16.199513678633764,0.7497766383966453,0.2713241267262388,0.12770152,val,0,0.12770152
20,587.8685521885521,0.1728795921035429,0.4329033214709371,13488,7649,4364924,1.0,0.0257731958762886,0.1732142857142857,0.0009033654592118,0.1,4,24.24600076690076,0.8526024382490227,0.5670966785290629,0.25368884,val,0,0.25368884
21,14.900471380471378,0.04546875,0.9733959539679992,68561,1824,110636,1.0,0.0309278350515463,0.2014537902388369,0.0372364429960177,0.0666666666666666,4,3.860113000997688,0.9565087430877298,0.0266040460320007,0.22172743,val,0,0.22172743
22,14.24107744107744,0.1344847094801223,0.8242250492743236,11162,1962,105740,1.0,0.0257731958762886,0.1519185591229444,0.0009355846036578,0.0,4,3.773735343274279,0.8814574508088788,0.1757749507256764,0.09501891,val,0,0.09501891
23,0.0,0.0,1.0,37537,0,0,1.0,0.0257731958762886,0.1727515583259127,0.0017996935789788,0.3,4,0.001,1.0,0.0,0.14701414,val,0,0.14701414
24,14.70276094276094,0.1992996550024642,0.713983648153369,7094,2029,109168,1.0,0.0309278350515463,0.1735241502683363,0.0013043437994028,0.1333333333333333,4,3.834418070941266,0.8338199680362164,0.286016351846631,0.15033162,val,0,0.15033162
25,717.7352188552188,0.2014754174397031,0.7992224058855028,42953,8624,5329184,1.0,0.0412371134020618,0.1741472172351885,0.0015017806294981,0.2142857142857142,4,26.790580804738426,0.8323099960970992,0.2007775941144972,0.27435318,val,0,0.27435318
26,959.9563636363636,0.2975730433293372,0.1943428768540876,14495,11678,7127676,1.0,0.0360824742268041,0.1739910313901345,0.0014025257722175,0.1428571428571428,4,30.983162599004697,0.7706695242636832,0.8056571231459124,0.3253679,val,0,0.3253679
